07-04-2026 17:08:08 | POST | cafeteria-api/pedidos
07-04-2026 17:08:08 | GET | cafeteria-api/pedidos
07-04-2026 17:08:20 | OPTIONS | cafeteria-api/pedidos/2
07-04-2026 17:08:20 | DELETE | cafeteria-api/pedidos/2
07-04-2026 17:08:20 | GET | cafeteria-api/pedidos
07-04-2026 17:10:00 | POST | cafeteria-api/pedidos
07-04-2026 17:15:10 | POST | cafeteria-api/pedidos
07-04-2026 17:15:10 | GET | cafeteria-api/pedidos
07-04-2026 17:16:26 | GET | cafeteria-api/pedidos
07-04-2026 17:17:30 | OPTIONS | cafeteria-api/pedidos
07-04-2026 17:17:30 | POST | cafeteria-api/pedidos
07-04-2026 17:17:30 | GET | cafeteria-api/pedidos
07-04-2026 17:17:38 | OPTIONS | cafeteria-api/pedidos
07-04-2026 17:17:38 | POST | cafeteria-api/pedidos
07-04-2026 17:17:38 | GET | cafeteria-api/pedidos
07-04-2026 17:17:49 | OPTIONS | cafeteria-api/pedidos
07-04-2026 17:17:49 | POST | cafeteria-api/pedidos
07-04-2026 17:17:50 | GET | cafeteria-api/pedidos
07-04-2026 17:19:23 | OPTIONS | cafeteria-api/pedidos
07-04-2026 17:19:23 | POST | cafeteria-api/pedidos
07-04-2026 17:19:23 | GET | cafeteria-api/pedidos
07-04-2026 17:19:40 | OPTIONS | cafeteria-api/pedidos
07-04-2026 17:19:40 | POST | cafeteria-api/pedidos
07-04-2026 17:19:40 | GET | cafeteria-api/pedidos
07-04-2026 17:21:11 | GET | cafeteria-api/pedidos
07-04-2026 17:21:13 | GET | cafeteria-api/categorias
07-04-2026 17:21:16 | GET | cafeteria-api/produtos
07-04-2026 17:22:34 | GET | cafeteria-api/pedidos
07-04-2026 18:38:32 | GET | cafeteria-api/pedidos
07-04-2026 18:38:33 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:38:33 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 18:38:33 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:38:36 | GET | cafeteria-api/pedidos
07-04-2026 18:38:39 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:38:39 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 18:38:39 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:38:40 | GET | cafeteria-api/pedidos
07-04-2026 18:43:02 | GET | cafeteria-api/pedidos
07-04-2026 18:43:03 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:43:03 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 18:43:03 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:43:04 | GET | cafeteria-api/pedidos
07-04-2026 18:43:40 | GET | cafeteria-api/pedidos
07-04-2026 18:44:01 | GET | cafeteria-api/pedidos
07-04-2026 18:44:09 | GET | cafeteria-api/pedidos
07-04-2026 18:44:33 | GET | cafeteria-api/pedidos
07-04-2026 18:44:35 | GET | cafeteria-api/produtos
07-04-2026 18:44:35 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:44:35 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:44:35 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 18:44:35 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:44:39 | GET | cafeteria-api/pedidos
07-04-2026 18:44:40 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:44:40 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:44:40 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 18:44:40 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:44:53 | OPTIONS | cafeteria-api/pedido-itens
07-04-2026 18:44:54 | POST | cafeteria-api/pedido-itens
07-04-2026 18:44:59 | OPTIONS | cafeteria-api/pedido-itens
07-04-2026 18:44:59 | POST | cafeteria-api/pedido-itens
07-04-2026 18:45:04 | OPTIONS | cafeteria-api/pedido-itens
07-04-2026 18:45:04 | POST | cafeteria-api/pedido-itens
07-04-2026 18:45:10 | GET | cafeteria-api/pedidos
07-04-2026 18:45:13 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:45:13 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:45:13 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 18:45:13 | PUT | cafeteria-api/pedidos/3
